UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_Rolling_Mean,Air temperature [K]_Volatility,Air temperature [K]_Delta,Process temperature [K]_Rolling_Mean,Process temperature [K]_Volatility,Process temperature [K]_Delta,Rotational speed [rpm]_Rolling_Mean,Rotational speed [rpm]_Volatility,Rotational speed [rpm]_Delta,Torque [Nm]_Rolling_Mean,Torque [Nm]_Volatility,Torque [Nm]_Delta,Tool wear [min]_Rolling_Mean,Tool wear [min]_Volatility,Tool wear [min]_Delta,Air temperature [K]_Rolling_Delta,Process temperature [K]_Rolling_Delta,Rotational speed [rpm]_Rolling_Delta,Torque [Nm]_Rolling_Delta,Tool wear [min]_Rolling_Delta
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.21999999999997,0.17888543819996428,0.19999999999998863,308.7,0.173205080756883,0.30000000000001137,1583.6,123.23067799862176,74.0,36.22,7.278873539222945,-0.6000000000000014,16.0,3.8078865529319543,3.0,0.060000000000002274,0.060000000000002274,66.6,-2.4,2.4
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.28000000000003,0.17888543819996428,-0.10000000000002274,308.76000000000005,0.1816590212458513,-0.10000000000002274,1655.0,111.20026978384543,41.0,32.62,8.164680030472717,-4.100000000000001,18.6,3.974921382870358,3.0,0.05999999999999091,0.05999999999999091,71.4,-3.6,2.6
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.38,0.19235384061674185,0.20000000000004547,308.86,0.207364413533311,0.20000000000004547,1628.0,150.19320890106852,-359.0,33.0,8.756426211645932,20.4,21.6,5.128352561983233,5.0,0.1,0.1,-27.0,0.3799999999999997,3.0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.48,0.13038404810416682,0.0,308.96000000000004,0.167332005306899,0.0,1590.4,197.78978740066438,-84.0,35.18,11.818502443203197,6.800000000000004,25.2,6.379655163094632,5.0,0.1,0.1,-37.6,2.1799999999999997,3.6
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.53999999999996,0.08944271910019186,0.0,309.06,0.11401754251004255,0.0999999999999659,1605.4,207.649464242025,403.0,35.46,11.638857332229824,-21.1,29.0,6.670832032063166,3.0,0.060000000000002274,0.1,15.0,0.2799999999999997,3.8
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.56,0.08944271910020615,0.0,309.1,0.12247448713928219,0.0,1664.2,283.4408227478886,293.0,33.78,13.45016728520504,-10.399999999999999,32.8,6.379655163094632,3.0,0.02000000000000455,0.039999999999997725,58.8,-1.6799999999999997,3.8
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.6,0.0,0.0,309.15999999999997,0.054772255750802135,0.0,1616.2,278.78791222002434,-493.0,38.68,13.413687039736685,28.799999999999997,36.4,5.128352561983234,2.0,0.0400000000000091,0.060000000000002274,-48.0,4.9,3.6
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.6,0.0,0.0,309.18,0.04472135955037297,0.0,1593.8,301.7460853101495,-231.0,39.14,13.691165034430048,-1.7999999999999972,39.4,3.9749213828703582,2.0,0.0,0.01999999999999318,-22.4,0.46000000000000085,3.0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.62,0.04472135955050245,0.0999999999999659,309.2,0.0,0.0,1608.0,288.12063445716626,99.0,38.04,12.673121162523458,-1.0,42.0,3.8078865529319548,3.0,0.01999999999999318,0.01999999999999318,14.2,-1.1,2.6
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.65999999999997,0.08944271910027367,0.10000000000002274,309.2,0.0,0.0,1520.8,303.0193063156208,-104.0,42.94,13.496962621271496,8.899999999999999,44.6,3.9749213828703582,3.0,0.039999999999997725,0.0,-87.2,4.9,2.6
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.71999999999997,0.13038404810425971,0.0999999999999659,309.21999999999997,0.04472135955044288,0.10000000000002274,1440.2,143.84436033435583,326.0,45.519999999999996,8.05648806863139,-22.0,47.6,5.128352561983234,5.0,0.05999999999999091,0.02000000000000455,-80.6,2.5799999999999996,3.0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.78000000000003,0.13038404810428098,0.0,309.23999999999995,0.05477225575090008,0.0,1406.8,133.2992873199253,-257.0,44.38,7.949654080524506,10.200000000000003,50.8,5.718391382198319,3.0,0.05999999999999091,0.02000000000000455,-33.4,-1.1399999999999992,3.2
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.82,0.08366600265379895,-0.0999999999999659,309.26000000000005,0.054772255750923426,0.0,1434.6,122.37156532462924,75.0,44.019999999999996,7.864286363046549,2.0999999999999943,54.6,6.348228099241552,5.0,0.039999999999997725,0.02000000000000455,27.8,-0.3600000000000009,3.8
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.86,0.054772255751169216,0.0999999999999659,309.28000000000003,0.04472135955052868,0.0,1468.8,136.81995468498008,131.0,41.040000000000006,9.719979423846528,-14.099999999999998,58.2,6.058052492344383,2.0,0.039999999999997725,0.02000000000000455,34.2,-2.9800000000000004,3.6
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.9,0.07071067811922598,0.10000000000002274,309.32,0.04472135955059859,0.0999999999999659,1559.2,150.95595384084726,177.0,35.28,8.157327993896025,-5.0,61.8,5.263078946776306,3.0,0.039999999999997725,0.039999999999997725,90.4,-5.76,3.6
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.91999999999996,0.08366600265390595,0.0,309.34000000000003,0.05477225575103305,0.0,1545.0,145.64168359367454,-197.0,36.239999999999995,8.029819425117838,11.599999999999998,64.8,4.658325879540847,2.0,0.02000000000000455,0.01999999999999318,-14.2,0.9599999999999994,3.0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.94,0.08944271910046908,0.0,309.38,0.08366600265378879,0.10000000000002274,1642.2,164.74434739923552,300.0,32.36,8.779977220927153,-13.999999999999996,67.8,3.962322551231792,3.0,0.02000000000000455,0.039999999999997725,97.2,-3.8800000000000003,3.0
