[21:46:27] Step 1   | Risk: 0.0546 | Alert: HEALTHY  | Failure: None            | Air: 299.6 | ProcT: 308.5 | RPM: 1492 | Torque: 38.7 | Wear: 50
[21:46:28] Step 2   | Risk: 0.5217 | Alert: HEALTHY  | Failure: None            | Air: 299.4 | ProcT: 310.9 | RPM: 1482 | Torque: 39.5 | Wear: 52
[21:46:29] Step 3   | Risk: 0.3478 | Alert: HEALTHY  | Failure: None            | Air: 298.2 | ProcT: 308.2 | RPM: 1496 | Torque: 41.1 | Wear: 54
[21:46:30] Step 4   | Risk: 0.6609 | Alert: WARNING  | Failure: OSF             | Air: 299.9 | ProcT: 311.6 | RPM: 1453 | Torque: 39.6 | Wear: 56
[21:46:31] Step 5   | Risk: 0.3342 | Alert: HEALTHY  | Failure: None            | Air: 300.5 | ProcT: 309.2 | RPM: 1517 | Torque: 41.6 | Wear: 58
[21:46:32] Step 6   | Risk: 0.4431 | Alert: HEALTHY  | Failure: None            | Air: 299.5 | ProcT: 310.4 | RPM: 1519 | Torque: 39.5 | Wear: 60
[21:46:33] Step 7   | Risk: 0.3552 | Alert: HEALTHY  | Failure: None            | Air: 300.6 | ProcT: 310.8 | RPM: 1471 | Torque: 39.1 | Wear: 62
[21:46:34] Step 8   | Risk: 0.3587 | Alert: HEALTHY  | Failure: None            | Air: 301.9 | ProcT: 309.2 | RPM: 1537 | Torque: 38.3 | Wear: 64
[21:46:35] Step 9   | Risk: 0.5809 | Alert: HEALTHY  | Failure: None            | Air: 301.3 | ProcT: 311.8 | RPM: 1528 | Torque: 40.4 | Wear: 66
[21:46:36] Step 10  | Risk: 0.3384 | Alert: HEALTHY  | Failure: None            | Air: 298.1 | ProcT: 310.4 | RPM: 1508 | Torque: 40.1 | Wear: 68
[21:46:37] Step 11  | Risk: 0.3854 | Alert: HEALTHY  | Failure: None            | Air: 301.0 | ProcT: 310.2 | RPM: 1452 | Torque: 41.5 | Wear: 70
[21:46:38] Step 12  | Risk: 0.1924 | Alert: HEALTHY  | Failure: None            | Air: 300.2 | ProcT: 310.9 | RPM: 1403 | Torque: 44.3 | Wear: 78
