[00:00:01] Step 94  | Risk: 0.3400 | Alert: HEALTHY  | Failure: None            | Air: 298.2 | ProcT: 311.4 | RPM: 1453 | Torque: 39.0 | Wear: 76
[00:00:02] Step 95  | Risk: 0.3229 | Alert: HEALTHY  | Failure: None            | Air: 298.8 | ProcT: 308.1 | RPM: 1459 | Torque: 39.6 | Wear: 78
[00:00:04] Step 96  | Risk: 0.0229 | Alert: HEALTHY  | Failure: None            | Air: 299.4 | ProcT: 308.3 | RPM: 1490 | Torque: 40.9 | Wear: 80
[00:00:06] Step 97  | Risk: 0.3544 | Alert: HEALTHY  | Failure: None            | Air: 302.0 | ProcT: 311.5 | RPM: 1512 | Torque: 41.0 | Wear: 82
[00:00:08] Step 98  | Risk: 0.3566 | Alert: HEALTHY  | Failure: None            | Air: 298.6 | ProcT: 309.6 | RPM: 1528 | Torque: 41.3 | Wear: 84
[00:00:09] Step 99  | Risk: 0.6643 | Alert: WARNING  | Failure: TWF             | Air: 300.9 | ProcT: 310.8 | RPM: 1480 | Torque: 41.6 | Wear: 86
[00:00:10] Step 100 | Risk: 0.3372 | Alert: HEALTHY  | Failure: None            | Air: 298.6 | ProcT: 309.6 | RPM: 1540 | Torque: 38.5 | Wear: 88
[00:00:12] Step 101 | Risk: 0.3640 | Alert: HEALTHY  | Failure: None            | Air: 299.0 | ProcT: 311.0 | RPM: 1533 | Torque: 40.3 | Wear: 50
[00:00:14] Step 102 | Risk: 0.3264 | Alert: HEALTHY  | Failure: None            | Air: 301.7 | ProcT: 311.4 | RPM: 1495 | Torque: 41.2 | Wear: 52
[00:00:15] Step 103 | Risk: 0.3218 | Alert: HEALTHY  | Failure: None            | Air: 299.7 | ProcT: 310.6 | RPM: 1523 | Torque: 38.0 | Wear: 54
[00:00:17] Step 104 | Risk: 0.2940 | Alert: HEALTHY  | Failure: None            | Air: 300.7 | ProcT: 308.1 | RPM: 1481 | Torque: 39.2 | Wear: 56
[00:00:18] Step 105 | Risk: 0.3343 | Alert: HEALTHY  | Failure: None            | Air: 300.6 | ProcT: 311.4 | RPM: 1511 | Torque: 41.4 | Wear: 58
[00:00:20] Step 106 | Risk: 0.3331 | Alert: HEALTHY  | Failure: None            | Air: 301.7 | ProcT: 308.6 | RPM: 1545 | Torque: 40.2 | Wear: 60
[00:00:21] Step 107 | Risk: 0.4259 | Alert: HEALTHY  | Failure: None            | Air: 301.8 | ProcT: 308.4 | RPM: 1464 | Torque: 38.2 | Wear: 62
[00:00:23] Step 108 | Risk: 0.3918 | Alert: HEALTHY  | Failure: None            | Air: 298.9 | ProcT: 310.6 | RPM: 1493 | Torque: 38.0 | Wear: 64
[00:00:24] Step 109 | Risk: 0.3916 | Alert: HEALTHY  | Failure: None            | Air: 298.3 | ProcT: 308.7 | RPM: 1461 | Torque: 38.7 | Wear: 66
[00:00:26] Step 110 | Risk: 0.5669 | Alert: HEALTHY  | Failure: None            | Air: 300.7 | ProcT: 309.6 | RPM: 1525 | Torque: 39.8 | Wear: 68
