[21:08:03] --- Logging Initialized for main.py ---
[21:08:03] Log file: logs/main.py@2026-01-28_21-08-03.log
[21:08:03] Fitting 5 folds for each of 50 candidates, totalling 250 fits
[21:08:08] ========== Model Features =========
[21:08:08] Air temperature [K]
[21:08:08] Process temperature [K]
[21:08:08] Rotational speed [rpm]
[21:08:08] Torque [Nm]
[21:08:08] Tool wear [min]
[21:08:08] Air temperature [K]_Rolling_Mean
[21:08:08] Air temperature [K]_Volatility
[21:08:08] Air temperature [K]_Delta
[21:08:08] Process temperature [K]_Rolling_Mean
[21:08:08] Process temperature [K]_Volatility
[21:08:08] Process temperature [K]_Delta
[21:08:08] Rotational speed [rpm]_Rolling_Mean
[21:08:08] Rotational speed [rpm]_Volatility
[21:08:08] Rotational speed [rpm]_Delta
[21:08:08] Torque [Nm]_Rolling_Mean
[21:08:08] Torque [Nm]_Volatility
[21:08:08] Torque [Nm]_Delta
[21:08:08] Tool wear [min]_Rolling_Mean
[21:08:08] Tool wear [min]_Volatility
[21:08:08] Tool wear [min]_Delta
[21:08:08] Power_Factor_Rolling

[21:08:08] === Model Evaluation (Test Set) ===
[21:08:08] ROC-AUC score :0.897
[21:08:08] risk_tolerance used : 0.095
[21:08:08] TP: 32 | FP: 554
[21:08:08] FN: 7 | TN: 1407

[21:08:08] Rates:
[21:08:08] Recall (TPR) : 0.821
[21:08:08] Precision    : 0.055
[21:08:08] False PosRate: 0.283
[21:08:08] ====================================
[21:08:09] Loaded RiskEvalModel from disk.
[21:08:09] Loaded classifier for TWF
[21:08:09] Loaded classifier for HDF
[21:08:09] Loaded classifier for PWF
[21:08:09] Loaded classifier for OSF
[21:08:09] All models ready.
[21:08:09] Step   | Risk Prob  | Alert      | Diagnosis
[21:08:09] ------------------------------------------------------------
[21:08:09] 1      | 0.1386     | HEALTHY    | None
[21:08:09] 2      | 0.1081     | HEALTHY    | None
[21:08:09] 3      | 0.0227     | HEALTHY    | None
[21:08:09] 4      | 0.8791     | CRITICAL   | PWF
[21:08:09] 5      | 0.1871     | HEALTHY    | None
[21:08:09] 6      | 0.0410     | HEALTHY    | None
[21:08:09] 7      | 0.1931     | HEALTHY    | None
[21:08:09] 8      | 0.0149     | HEALTHY    | None
[21:08:09] 9      | 0.0265     | HEALTHY    | None
[21:08:09] 10     | 0.1961     | HEALTHY    | None
[21:08:09] 11     | 0.8466     | CRITICAL   | OSF
[21:08:09] 12     | 0.2319     | HEALTHY    | None
[21:08:09] 13     | 0.8543     | CRITICAL   | OSF
[21:08:09] 14     | 0.5177     | WARNING    | OSF
[21:08:09] 15     | 0.1848     | HEALTHY    | None
[21:08:09] 16     | 0.0582     | HEALTHY    | None
[21:08:09] 17     | 0.0668     | HEALTHY    | None
[21:08:09] 18     | 0.0617     | HEALTHY    | None
[21:08:09] 19     | 0.0450     | HEALTHY    | None
[21:08:09] 20     | 0.1258     | HEALTHY    | None
[21:08:09] 21     | 0.0369     | HEALTHY    | None
[21:08:09] 22     | 0.0323     | HEALTHY    | None
[21:08:09] 23     | 0.2156     | HEALTHY    | None
[21:08:09] 24     | 0.1435     | HEALTHY    | None
[21:08:09] 25     | 0.1436     | HEALTHY    | None
[21:08:09] 26     | 0.6140     | WARNING    | OSF
[21:08:09] 27     | 0.4180     | HEALTHY    | None
[21:08:09] 28     | 0.2354     | HEALTHY    | None
[21:08:09] 29     | 0.1845     | HEALTHY    | None
[21:08:09] 30     | 0.0061     | HEALTHY    | None
[21:08:09] 31     | 0.0107     | HEALTHY    | None
[21:08:09] 32     | 0.0022     | HEALTHY    | None
[21:08:09] 33     | 0.0278     | HEALTHY    | None
[21:08:09] 34     | 0.0033     | HEALTHY    | None
[21:08:09] 35     | 0.0036     | HEALTHY    | None
[21:08:09] 36     | 0.0024     | HEALTHY    | None
[21:08:09] 37     | 0.0366     | HEALTHY    | None
[21:08:09] 38     | 0.0084     | HEALTHY    | None
[21:08:09] 39     | 0.0385     | HEALTHY    | None
[21:08:09] 40     | 0.0028     | HEALTHY    | None
[21:08:09] 41     | 0.0047     | HEALTHY    | None
[21:08:09] 42     | 0.0293     | HEALTHY    | None
[21:08:09] 43     | 0.0221     | HEALTHY    | None
[21:08:09] 44     | 0.0037     | HEALTHY    | None
[21:08:09] 45     | 0.0022     | HEALTHY    | None
[21:08:09] 46     | 0.1437     | HEALTHY    | None
[21:08:09] 47     | 0.0115     | HEALTHY    | None
[21:08:09] 48     | 0.0095     | HEALTHY    | None
[21:08:09] 49     | 0.0086     | HEALTHY    | None
[21:08:09] 50     | 0.0033     | HEALTHY    | None
[21:08:09] 51     | 0.1172     | HEALTHY    | None
[21:08:09] 52     | 0.0023     | HEALTHY    | None
[21:08:09] 53     | 0.0489     | HEALTHY    | None
[21:08:09] 54     | 0.0071     | HEALTHY    | None
[21:08:09] 55     | 0.0486     | HEALTHY    | None
[21:08:09] 56     | 0.0151     | HEALTHY    | None
[21:08:09] 57     | 0.0256     | HEALTHY    | None
[21:08:09] 58     | 0.0089     | HEALTHY    | None
[21:08:09] 59     | 0.0373     | HEALTHY    | None
[21:08:09] 60     | 0.0072     | HEALTHY    | None
[21:08:09] 61     | 0.0083     | HEALTHY    | None
[21:08:09] 62     | 0.0153     | HEALTHY    | None
[21:08:09] 63     | 0.0989     | HEALTHY    | None
[21:08:09] 64     | 0.0186     | HEALTHY    | None
[21:08:09] 65     | 0.0139     | HEALTHY    | None
[21:08:09] 66     | 0.0050     | HEALTHY    | None
[21:08:09] 67     | 0.0079     | HEALTHY    | None
[21:08:09] 68     | 0.0254     | HEALTHY    | None
[21:08:09] 69     | 0.0237     | HEALTHY    | None
[21:08:09] 70     | 0.0095     | HEALTHY    | None
[21:08:09] 71     | 0.0131     | HEALTHY    | None
[21:08:09] 72     | 0.0059     | HEALTHY    | None
[21:08:09] 73     | 0.0176     | HEALTHY    | None
[21:08:09] 74     | 0.0258     | HEALTHY    | None
[21:08:09] 75     | 0.0314     | HEALTHY    | None
[21:08:09] 76     | 0.0232     | HEALTHY    | None
[21:08:09] 77     | 0.0410     | HEALTHY    | None
[21:08:09] 78     | 0.0366     | HEALTHY    | None
[21:08:09] 79     | 0.0053     | HEALTHY    | None
[21:08:09] 80     | 0.0111     | HEALTHY    | None
[21:08:09] 81     | 0.0443     | HEALTHY    | None
[21:08:09] 82     | 0.2940     | HEALTHY    | None
[21:08:09] 83     | 0.0875     | HEALTHY    | None
[21:08:09] 84     | 0.0315     | HEALTHY    | None
[21:08:09] 85     | 0.0814     | HEALTHY    | None
[21:08:09] 86     | 0.1219     | HEALTHY    | None
[21:08:09] 87     | 0.0224     | HEALTHY    | None
[21:08:09] 88     | 0.0474     | HEALTHY    | None
[21:08:09] 89     | 0.0794     | HEALTHY    | None
[21:08:09] 90     | 0.0319     | HEALTHY    | None
[21:08:09] 91     | 0.0869     | HEALTHY    | None
[21:08:09] 92     | 0.7837     | WARNING    | RandomFailure
[21:08:09] 93     | 0.0901     | HEALTHY    | None
[21:08:09] 94     | 0.0175     | HEALTHY    | None
[21:08:09] 95     | 0.0124     | HEALTHY    | None
[21:08:09] 96     | 0.2744     | HEALTHY    | None
[21:08:09] 97     | 0.0354     | HEALTHY    | None
[21:08:09] 98     | 0.0366     | HEALTHY    | None
[21:08:09] 99     | 0.0250     | HEALTHY    | None
[21:08:09] 100    | 0.0128     | HEALTHY    | None
[21:08:09] 101    | 0.0137     | HEALTHY    | None
[21:08:09] 102    | 0.0908     | HEALTHY    | None
[21:08:09] 103    | 0.1269     | HEALTHY    | None
[21:08:09] 104    | 0.0789     | HEALTHY    | None
[21:08:09] 105    | 0.0402     | HEALTHY    | None
[21:08:09] 106    | 0.2441     | HEALTHY    | None
[21:08:09] 107    | 0.0211     | HEALTHY    | None
[21:08:09] 108    | 0.1355     | HEALTHY    | None
[21:08:09] 109    | 0.0212     | HEALTHY    | None
[21:08:09] 110    | 0.0295     | HEALTHY    | None
[21:08:09] 111    | 0.2491     | HEALTHY    | None
[21:08:09] 112    | 0.0447     | HEALTHY    | None
[21:08:09] 113    | 0.0127     | HEALTHY    | None
[21:08:09] 114    | 0.0158     | HEALTHY    | None
[21:08:09] 115    | 0.3727     | HEALTHY    | None
[21:08:09] 116    | 0.6520     | WARNING    | RandomFailure
[21:08:09] 117    | 0.0092     | HEALTHY    | None
[21:08:09] 118    | 0.0257     | HEALTHY    | None
[21:08:09] 119    | 0.0048     | HEALTHY    | None
[21:08:09] 120    | 0.0581     | HEALTHY    | None
[21:08:09] 121    | 0.0038     | HEALTHY    | None
[21:08:09] 122    | 0.0069     | HEALTHY    | None
[21:08:09] 123    | 0.0415     | HEALTHY    | None
[21:08:09] 124    | 0.0023     | HEALTHY    | None
[21:08:09] 125    | 0.0063     | HEALTHY    | None
[21:08:09] 126    | 0.0195     | HEALTHY    | None
[21:08:09] 127    | 0.0018     | HEALTHY    | None
[21:08:09] 128    | 0.0043     | HEALTHY    | None
[21:08:09] 129    | 0.0039     | HEALTHY    | None
[21:08:09] 130    | 0.0070     | HEALTHY    | None
[21:08:09] 131    | 0.0079     | HEALTHY    | None
[21:08:09] 132    | 0.0443     | HEALTHY    | None
[21:08:09] 133    | 0.1006     | HEALTHY    | None
[21:08:09] 134    | 0.0291     | HEALTHY    | None
[21:08:09] 135    | 0.0108     | HEALTHY    | None
[21:08:09] 136    | 0.0056     | HEALTHY    | None
[21:08:09] 137    | 0.0047     | HEALTHY    | None
[21:08:09] 138    | 0.0028     | HEALTHY    | None
[21:08:09] 139    | 0.1361     | HEALTHY    | None
[21:08:09] 140    | 0.0193     | HEALTHY    | None
[21:08:09] 141    | 0.0047     | HEALTHY    | None
[21:08:09] 142    | 0.0513     | HEALTHY    | None
[21:08:09] 143    | 0.1655     | HEALTHY    | None
[21:08:09] 144    | 0.0108     | HEALTHY    | None
[21:08:09] 145    | 0.0420     | HEALTHY    | None
[21:08:09] 146    | 0.0072     | HEALTHY    | None
[21:08:09] 147    | 0.0031     | HEALTHY    | None
