[21:17:19] --- Logging Initialized for main.py ---
[21:17:19] Log file: logs/main.py@2026-01-28_21-17-19.log
[21:17:19] Fitting 5 folds for each of 50 candidates, totalling 250 fits
[21:17:25] ========== Model Features =========
[21:17:25] Air temperature [K]
[21:17:25] Process temperature [K]
[21:17:25] Rotational speed [rpm]
[21:17:25] Torque [Nm]
[21:17:25] Tool wear [min]
[21:17:25] Air temperature [K]_Rolling_Mean
[21:17:25] Air temperature [K]_Volatility
[21:17:25] Air temperature [K]_Delta
[21:17:25] Process temperature [K]_Rolling_Mean
[21:17:25] Process temperature [K]_Volatility
[21:17:25] Process temperature [K]_Delta
[21:17:25] Rotational speed [rpm]_Rolling_Mean
[21:17:25] Rotational speed [rpm]_Volatility
[21:17:25] Rotational speed [rpm]_Delta
[21:17:25] Torque [Nm]_Rolling_Mean
[21:17:25] Torque [Nm]_Volatility
[21:17:25] Torque [Nm]_Delta
[21:17:25] Tool wear [min]_Rolling_Mean
[21:17:25] Tool wear [min]_Volatility
[21:17:25] Tool wear [min]_Delta
[21:17:25] Power_Factor_Rolling

[21:17:25] === Model Evaluation (Test Set) ===
[21:17:25] ROC-AUC score :0.897
[21:17:25] risk_tolerance used : 0.095
[21:17:25] TP: 32 | FP: 554
[21:17:25] FN: 7 | TN: 1407

[21:17:25] Rates:
[21:17:25] Recall (TPR) : 0.821
[21:17:25] Precision    : 0.055
[21:17:25] False PosRate: 0.283
[21:17:25] ====================================
[21:17:25] Loaded RiskEvalModel from disk.
[21:17:25] Step   | Risk Prob  | Alert      | Diagnosis
[21:17:25] ------------------------------------------------------------
[21:17:25] 1      | 0.9963     | CRITICAL   | RandomFailure
[21:17:25] 2      | 0.9652     | CRITICAL   | RandomFailure
[21:17:25] 3      | 0.0334     | HEALTHY    | None
[21:17:25] 4      | 0.9668     | CRITICAL   | PWF
[21:17:25] 5      | 0.1871     | HEALTHY    | None
[21:17:25] 6      | 0.0410     | HEALTHY    | None
[21:17:25] 7      | 0.1931     | HEALTHY    | None
[21:17:25] 8      | 0.0149     | HEALTHY    | None
[21:17:25] 9      | 0.0265     | HEALTHY    | None
[21:17:25] 10     | 0.1961     | HEALTHY    | None
[21:17:25] 11     | 0.8466     | CRITICAL   | OSF
[21:17:25] 12     | 0.2319     | HEALTHY    | None
[21:17:25] 13     | 0.8543     | CRITICAL   | OSF
[21:17:25] 14     | 0.5177     | WARNING    | OSF
[21:17:25] 15     | 0.1848     | HEALTHY    | None
[21:17:25] 16     | 0.0582     | HEALTHY    | None
[21:17:25] 17     | 0.0668     | HEALTHY    | None
[21:17:25] 18     | 0.0617     | HEALTHY    | None
[21:17:25] 19     | 0.0450     | HEALTHY    | None
[21:17:25] 20     | 0.1258     | HEALTHY    | None
[21:17:25] 21     | 0.0369     | HEALTHY    | None
[21:17:25] 22     | 0.0323     | HEALTHY    | None
[21:17:25] 23     | 0.2156     | HEALTHY    | None
[21:17:25] 24     | 0.1435     | HEALTHY    | None
[21:17:25] 25     | 0.1436     | HEALTHY    | None
[21:17:26] 26     | 0.6140     | WARNING    | OSF
[21:17:26] 27     | 0.4180     | HEALTHY    | None
[21:17:26] 28     | 0.2354     | HEALTHY    | None
[21:17:26] 29     | 0.1845     | HEALTHY    | None
[21:17:26] 30     | 0.0061     | HEALTHY    | None
[21:17:26] 31     | 0.0107     | HEALTHY    | None
[21:17:26] 32     | 0.0022     | HEALTHY    | None
[21:17:26] 33     | 0.0278     | HEALTHY    | None
[21:17:26] 34     | 0.0033     | HEALTHY    | None
[21:17:26] 35     | 0.0036     | HEALTHY    | None
[21:17:26] 36     | 0.0024     | HEALTHY    | None
[21:17:26] 37     | 0.0366     | HEALTHY    | None
[21:17:26] 38     | 0.0084     | HEALTHY    | None
[21:17:26] 39     | 0.0385     | HEALTHY    | None
