[18:20:17] --- Logging Initialized for main.py ---
[18:20:17] Log file: logs/main.py@2026-01-31_18-20-17.log
[18:20:17] Loaded RiskEvalModel from disk.
[18:20:17] Warning_S  | Diag_S     | Warning Step | Score
[18:20:17] --------------------------------------------------
[18:20:17] 0.30       | 0.20       | 5            | 0.50
[18:20:17] 0.30       | 0.30       | 1            | 0.25
[18:20:17] 0.30       | 0.40       | 1            | 0.25
[18:20:17] 0.30       | 0.50       | 1            | 0.25
[18:20:17] 0.40       | 0.20       | 1            | 0.25
[18:20:17] 0.40       | 0.30       | 1            | 0.25
[18:20:17] 0.40       | 0.40       | 1            | 0.25
[18:20:17] 0.40       | 0.50       | 1            | 0.25
[18:20:18] 0.50       | 0.20       | 1            | 0.25
[18:20:18] 0.50       | 0.30       | 1            | 0.25
[18:20:18] 0.50       | 0.40       | 1            | 0.25
[18:20:18] 0.50       | 0.50       | 1            | 0.25
[18:20:18] 0.60       | 0.20       | 1            | 0.25
[18:20:18] 0.60       | 0.30       | 1            | 0.25
